,X_CCF,Y_CCF,Z_CCF
226,-33457.64118448642,-59463.02870068983,-942747.6599776548
227,-33463.405707751284,-59492.49690713801,-948478.8098604607
228,-33483.74400973667,-59520.91106799689,-954187.1363428712
229,-33420.04405826296,-59532.3688382454,-960006.6856489633
230,-33344.21756018617,-59528.07034515243,-965844.6904820092
231,-33372.01155572978,-59546.6875335905,-971539.0915263495
232,-33376.96343736405,-59557.70786648045,-977264.6411327794
233,-33385.70670137654,-59569.5579381804,-982983.9002903576
234,-33397.85569676818,-59583.04219109843,-988696.8547461489
235,-33396.441942061516,-59587.77857800073,-994431.8030453452
236,-33416.215886700884,-59606.69766418557,-1000129.434114373
237,-33413.553713636524,-59608.50788814796,-1005867.7618178779
238,-33428.33734096444,-59624.849604795556,-1011571.6744984086
239,-33437.33705620962,-59636.55511526005,-1017286.0628497951
240,-33443.77958426718,-59645.63012383074,-1023005.9250365284
241,-33445.11735685514,-59647.55383881708,-1028740.7817312974
242,-33456.39803550495,-59663.06034585885,-1034446.8077059226
243,-33458.47937307637,-59663.952659084156,-1040184.1415319262
244,-33469.51288571824,-59681.1887775406,-1045886.7933887402
245,-33473.743628269694,-59684.48693463428,-1051620.1611695753
246,-33478.70821855969,-59687.40162656875,-1057355.7179306399
247,-33483.192491355214,-59684.137191645204,-1063107.7389535296
248,-33493.6994513064,-59708.60405186779,-1068794.9152313322
249,-33501.090569580505,-59724.18754212146,-1074502.9150192607
250,-33507.667025254406,-59728.91184094722,-1080240.3015673258
251,-33514.72846259458,-59736.884110654304,-1085971.4172729258
252,-33520.72187561527,-59751.31914474017,-1091684.8380163242
253,-33526.71821210536,-59763.006860962894,-1097407.5181020882
254,-33529.97007593335,-59779.94862315355,-1103111.8910238962
255,-33534.555427749685,-59791.79666878656,-1108834.805535213
256,-33535.855739327984,-59807.370226691004,-1114541.5678193893
257,-33895.73670099875,-59458.819640494425,-1122190.3636924636
258,-33534.0207292952,-59837.10837147372,-1125951.320556007
259,-33539.99663407282,-59845.23056792273,-1131696.8776830516
260,-33532.46288343852,-59860.94208928108,-1137383.4434114974
261,-33527.053006183065,-59873.46895314682,-1143085.3339167002
262,-33527.17211075429,-59883.211485544154,-1148814.66760287
